2020-11-30 09:08:00,044 [main] INFO  c.e.c.EurekaConsumerApplicationTests [StartupInfoLogger.java : 61] - Started EurekaConsumerApplicationTests in 6.993 seconds (JVM running for 8.851)
2020-11-30 09:08:00,421 [SpringContextShutdownHook] INFO  o.s.c.n.eureka.InstanceInfoFactory [InstanceInfoFactory.java : 72] - Setting initial instance status as: STARTING
2020-11-30 09:08:00,426 [SpringContextShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry [EurekaServiceRegistry.java : 65] - Unregistering application EUREKA-CONSUMER with eureka with status DOWN
2020-11-30 09:08:00,431 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor [ExecutorConfigurationSupport.java : 218] - Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-30 09:35:56,506 [background-preinit] INFO  o.h.validator.internal.util.Version [Version.java : 21] - HV000001: Hibernate Validator 6.0.21.Final
2020-11-30 09:35:57,578 [main] INFO  c.e.clienta.EurekaClientApplicationA [SpringApplication.java : 651] - No active profile set, falling back to default profiles: default
2020-11-30 09:35:58,865 [main] WARN  o.s.boot.actuate.endpoint.EndpointId [EndpointId.java : 155] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-11-30 09:35:59,079 [main] INFO  o.s.cloud.context.scope.GenericScope [GenericScope.java : 295] - BeanFactory id=9dd46c35-55fb-3b84-af6c-f8bf37a20e2c
2020-11-30 09:35:59,566 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java : 91] - Tomcat initialized with port(s): 8801 (http)
2020-11-30 09:35:59,581 [main] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java : 173] - Initializing ProtocolHandler ["http-nio-8801"]
2020-11-30 09:35:59,582 [main] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java : 173] - Starting service [Tomcat]
2020-11-30 09:35:59,583 [main] INFO  o.a.catalina.core.StandardEngine [DirectJDKLog.java : 173] - Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-11-30 09:35:59,829 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java : 173] - Initializing Spring embedded WebApplicationContext
